rainfall_mm,flood_index,alert_count_on_route,active_landslide_alerts,road_disruption_count,historical_risk_score,vehicle_type_weight,risk_level
44.52,0.213,0,0,0,0.012,1.2,LOW
92.82,0.384,5,0,0,0.304,1.8,MEDIUM
36.62,0.378,0,2,0,0.641,0.9,MEDIUM
57.71,0.473,5,1,0,0.043,1.3,MEDIUM
50.84,0.32,2,1,0,0.327,1.0,MEDIUM
121.37,0.439,1,0,0,0.572,1.3,MEDIUM
109.59,0.421,3,2,0,0.058,1.3,MEDIUM
90.3,0.577,3,0,0,0.327,1.2,MEDIUM
16.81,0.13,0,1,0,0.303,1.0,LOW
108.13,0.667,0,0,0,0.214,0.8,MEDIUM
52.56,0.281,2,0,3,0.532,0.9,MEDIUM
23.13,0.294,1,0,0,0.548,0.9,LOW
36.24,0.337,0,1,0,0.121,1.8,LOW
37.83,0.14,0,0,1,0.252,0.9,LOW
30.66,0.383,1,0,0,0.381,1.3,LOW
92.31,0.371,0,0,0,0.05,0.9,LOW
92.16,0.569,0,0,0,0.492,1.2,MEDIUM
32.02,0.26,1,0,0,0.291,1.2,LOW
43.89,0.273,0,1,0,0.369,0.9,LOW
116.62,0.424,5,2,0,0.477,1.8,HIGH
62.91,0.277,2,2,0,0.5,1.6,MEDIUM
14.25,0.171,0,0,1,0.17,1.3,LOW
26.23,0.321,2,1,1,0.111,1.8,MEDIUM
143.48,0.672,1,1,1,0.128,1.8,MEDIUM
130.49,0.687,1,1,1,0.534,0.8,HIGH
56.36,0.229,0,0,2,0.488,1.8,LOW
37.86,0.184,2,0,1,0.269,1.2,LOW
87.44,0.584,2,0,0,0.546,1.6,MEDIUM
43.92,0.166,3,0,0,0.191,1.2,LOW
23.81,0.238,0,0,0,0.285,1.6,LOW
31.31,0.132,6,0,1,0.365,1.6,MEDIUM
156.39,0.656,1,0,0,0.054,1.3,MEDIUM
36.32,0.217,3,0,0,0.271,1.6,LOW
44.48,0.265,0,0,1,0.511,0.8,LOW
27.04,0.117,3,2,0,0.197,1.0,MEDIUM
128.99,0.57,2,1,1,0.519,1.8,HIGH
83.68,0.541,2,0,0,0.215,1.2,MEDIUM
30.07,0.225,0,0,1,0.347,0.8,LOW
67.68,0.243,4,0,0,0.897,0.8,MEDIUM
37.78,0.166,0,1,3,0.287,1.6,MEDIUM
153.16,0.817,1,2,0,0.303,1.8,HIGH
174.07,0.702,1,1,0,0.399,1.8,MEDIUM
26.31,0.293,0,2,2,0.218,0.9,MEDIUM
107.09,0.482,0,0,0,0.145,1.8,MEDIUM
54.12,0.438,2,0,0,0.179,1.2,LOW
105.83,0.575,0,0,0,0.541,1.6,MEDIUM
81.77,0.586,1,1,1,0.173,0.8,MEDIUM
76.61,0.51,1,0,0,0.357,1.2,MEDIUM
77.28,0.371,1,0,1,0.323,1.3,MEDIUM
64.36,0.261,2,0,0,0.231,1.8,LOW
104.71,0.408,1,0,2,0.279,1.8,MEDIUM
144.73,0.621,0,0,0,0.374,1.0,MEDIUM
80.91,0.388,0,1,0,0.162,1.6,MEDIUM
139.68,0.599,3,0,0,0.383,1.3,MEDIUM
144.4,0.692,0,0,0,0.26,1.8,MEDIUM
93.85,0.555,2,0,1,0.546,1.8,MEDIUM
23.67,0.301,3,1,0,0.346,1.2,MEDIUM
72.05,0.409,3,0,0,0.496,1.0,MEDIUM
88.33,0.566,5,0,0,0.11,1.8,MEDIUM
73.15,0.549,2,0,0,0.174,1.6,MEDIUM
103.68,0.515,1,0,0,0.414,1.0,MEDIUM
47.43,0.179,3,1,0,0.331,1.0,MEDIUM
40.28,0.238,6,1,0,0.123,0.8,MEDIUM
109.91,0.386,3,0,2,0.436,1.0,MEDIUM
54.75,0.456,1,0,0,0.555,0.9,LOW
62.58,0.387,2,0,0,0.557,1.8,MEDIUM
80.04,0.405,0,0,0,0.262,1.6,LOW
68.06,0.342,3,0,0,0.126,1.3,LOW
52.13,0.433,1,0,1,0.267,1.0,LOW
183.66,0.725,3,1,0,0.224,1.0,HIGH
24.43,0.188,1,0,0,0.302,1.3,LOW
129.82,0.572,0,2,1,0.355,0.9,HIGH
39.1,0.222,4,0,1,0.267,1.0,LOW
114.22,0.527,3,0,0,0.462,1.6,MEDIUM
36.48,0.427,0,0,0,0.126,1.8,LOW
63.11,0.488,4,1,0,0.284,1.2,MEDIUM
183.26,0.804,0,2,1,0.31,1.8,HIGH
35.54,0.265,1,2,0,0.354,1.3,MEDIUM
105.89,0.563,1,0,1,0.182,1.8,MEDIUM
141.41,0.78,2,0,0,0.449,1.3,MEDIUM
19.88,0.102,2,0,0,0.477,1.6,LOW
54.13,0.289,0,2,1,0.291,1.6,MEDIUM
60.71,0.465,1,0,0,0.238,0.8,LOW
179.67,0.643,1,0,0,0.375,1.8,MEDIUM
76.23,0.454,1,0,2,0.264,1.0,MEDIUM
120.21,0.519,5,0,2,0.426,1.8,MEDIUM
117.35,0.475,1,0,0,0.234,1.2,MEDIUM
41.75,0.342,0,0,0,0.499,0.9,LOW
52.31,0.48,3,0,0,0.554,1.8,MEDIUM
72.93,0.497,0,0,0,0.395,1.3,LOW
90.45,0.437,2,0,0,0.127,1.0,MEDIUM
33.07,0.386,3,0,1,0.21,0.8,LOW
52.94,0.403,0,0,2,0.387,0.8,MEDIUM
89.79,0.364,4,0,0,0.342,0.9,MEDIUM
90.18,0.493,1,0,0,0.112,1.6,MEDIUM
98.81,0.522,2,1,1,0.107,0.8,MEDIUM
48.81,0.424,2,0,0,0.526,0.8,MEDIUM
193.74,0.761,0,0,0,0.082,1.6,MEDIUM
56.61,0.327,1,0,0,0.447,1.0,LOW
